Filtering,Filtering
"Display Mode","Display Mode"
"Allow Multiselect","Allow Multiselect"
"Hide filter when only one option available","Hide filter when only one option available"
"Measure Units","Measure Units"
"Unit label","Unit label"
"Slider Step","Slider Step"
"Layer Filter applied with multiple parameters, but multiselect restricted for the filter.","Layer Filter applied with multiple parameters, but multiselect restricted for the filter."
"%1 and above","%1 and above"
"%1 - %2","%1 - %2"
"Bucket does not exist","Bucket does not exist"
Default,Default
Dropdown,Dropdown
Slider,Slider
"Store Currency","Store Currency"
"Custom label","Custom label"
"Improved Navigation","Improved Navigation"
Loading...,Loading...
item,item
items,items
"Improved Layered Navigation","Improved Layered Navigation"
General,General
"Enable Ajax","Enable Ajax"
